# WerkstattArchiv Log-Datei
# Diese Datei wird automatisch beim Programmstart erstellt
# Alle wichtigen Events werden hier protokolliert

[2025-11-14 07:03:37] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 07:03:38] INFO     | Log-System gestartet
[2025-11-14 07:04:39] INFO     | Anwendung wird beendet
[2025-11-14 07:05:22] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 07:05:22] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 07:05:23] INFO     | Log-System gestartet
[2025-11-14 07:05:53] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 07:05:53] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 07:05:55] INFO     | Log-System gestartet
[2025-11-14 07:06:24] INFO     | Anwendung wird beendet
[2025-11-14 07:06:35] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 07:06:36] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 07:06:37] INFO     | Log-System gestartet
[2025-11-14 07:06:56] INFO     | Anwendung wird beendet
[2025-11-14 07:07:13] INFO     | Anwendung wird beendet
[2025-11-14 07:07:55] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 07:07:55] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 07:07:57] INFO     | Log-System gestartet
[2025-11-14 07:08:23] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 07:08:23] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 07:08:24] INFO     | Log-System gestartet
[2025-11-14 07:09:37] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 07:09:37] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 07:09:39] INFO     | Log-System gestartet
[2025-11-14 07:10:33] INFO     | Anwendung wird beendet
[2025-11-14 07:14:35] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 07:14:36] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 07:14:37] INFO     | Log-System gestartet
[2025-11-14 07:16:04] INFO     | Anwendung wird beendet
[2025-11-14 07:29:41] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 07:29:42] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 07:29:43] INFO     | Log-System gestartet
[2025-11-14 07:34:17] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 07:34:18] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 07:34:19] INFO     | Log-System gestartet
[2025-11-14 07:35:10] INFO     | Anwendung wird beendet
[2025-11-14 07:38:53] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 07:38:54] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 07:38:55] INFO     | Log-System gestartet
[2025-11-14 07:40:01] INFO     | Anwendung wird beendet
[2025-11-14 07:41:38] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 07:41:39] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 07:41:40] INFO     | Log-System gestartet
[2025-11-14 07:41:48] INFO     | Anwendung wird beendet
[2025-11-14 13:17:53] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 13:17:53] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 13:17:55] INFO     | Log-System gestartet
[2025-11-14 13:20:45] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 13:20:45] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 13:20:46] INFO     | Log-System gestartet
[2025-11-14 13:23:20] INFO     | Anwendung wird beendet
[2025-11-14 13:23:24] INFO     | Anwendung wird beendet
[2025-11-14 20:31:09] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 20:31:10] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 20:31:11] INFO     | Log-System gestartet
